Week,Avg_Sentiment,Article_Count
2013-07-01/2013-07-07,1.7899129,10
2013-07-08/2013-07-14,1.0150161,25
2013-07-15/2013-07-21,0.025215253,2
2013-07-29/2013-08-04,2.588671,3
2013-08-05/2013-08-11,0.74074566,2
2013-08-12/2013-08-18,3.158632,3
2013-08-19/2013-08-25,0.6091743,3
2013-08-26/2013-09-01,5.4300313,3
2013-09-02/2013-09-08,4.1610684,4
2013-09-09/2013-09-15,2.4666965,13
2013-09-16/2013-09-22,1.7676893,6
2013-09-23/2013-09-29,0.86363864,1
2013-09-30/2013-10-06,0.9673629,4
2013-10-07/2013-10-13,0.30932912,25
2013-10-14/2013-10-20,0.06410816,1
2013-10-21/2013-10-27,0.013664503,2
2013-10-28/2013-11-03,8.221943,3
2013-11-04/2013-11-10,0.3143878,5
2013-11-11/2013-11-17,3.427373,4
2013-11-25/2013-12-01,0.25105152,3
2013-12-02/2013-12-08,2.3019953,2
2013-12-09/2013-12-15,2.9888074,3
2013-12-16/2013-12-22,1.8778547,5
2013-12-23/2013-12-29,3.1591394,2
2013-12-30/2014-01-05,-1.9192623,4
2014-01-06/2014-01-12,1.2236919,15
2014-01-13/2014-01-19,2.48106,7
2014-01-20/2014-01-26,1.7275927,10
2014-01-27/2014-02-02,2.7260752,4
2014-02-17/2014-02-23,-1.9623575,2
2014-02-24/2014-03-02,2.4207895,4
2014-03-10/2014-03-16,4.7271047,4
2014-03-17/2014-03-23,4.1409526,4
2014-03-24/2014-03-30,3.1614122,4
2014-03-31/2014-04-06,0.5697129,6
2014-04-07/2014-04-13,1.5537724,31
2014-04-14/2014-04-20,6.0883517,5
2014-04-21/2014-04-27,1.2414871,3
2020-08-03/2020-08-09,3.6767914,5
2020-08-10/2020-08-16,4.1339006,5
2020-09-07/2020-09-13,-1.502932,1
2020-09-21/2020-09-27,3.6439312,3
2020-10-05/2020-10-11,1.185026,3
2020-10-12/2020-10-18,4.144608,7
2020-10-19/2020-10-25,7.3489323,2
2020-10-26/2020-11-01,0.7037985,2
2020-11-30/2020-12-06,3.8607254,5
2020-12-07/2020-12-13,-2.0431056,2
2020-12-14/2020-12-20,0.113846295,1
2020-12-28/2021-01-03,8.129569,2
2021-01-04/2021-01-10,8.767152,2
2021-01-18/2021-01-24,5.359523,7
2021-01-25/2021-01-31,4.763635,2
2021-02-08/2021-02-14,8.941233,2
2021-02-15/2021-02-21,0.11606151,2
2021-03-01/2021-03-07,3.551901,4
2021-03-08/2021-03-14,8.999476,1
2021-03-15/2021-03-21,2.28544,4
2021-03-22/2021-03-28,4.6629033,6
2021-03-29/2021-04-04,8.194634,2
2021-04-05/2021-04-11,1.5229533,5
2021-04-12/2021-04-18,1.8350983,9
2021-04-19/2021-04-25,-4.518784,2
2021-04-26/2021-05-02,5.8366876,3
2021-05-10/2021-05-16,4.098919,6
2021-05-17/2021-05-23,2.079154,2
2021-05-24/2021-05-30,6.0081506,3
2021-05-31/2021-06-06,5.9964886,3
2021-06-07/2021-06-13,7.8336196,2
2021-06-14/2021-06-20,3.8521814,4
2021-06-21/2021-06-27,3.3650026,3
2021-06-28/2021-07-04,6.178161,1
2021-07-05/2021-07-11,-4.330992,1
2021-07-12/2021-07-18,3.4269798,7
2021-07-19/2021-07-25,-0.3041725,6
2021-07-26/2021-08-01,9.209842,1
2021-08-02/2021-08-08,5.9113355,5
2021-08-09/2021-08-15,8.94026,1
2021-08-16/2021-08-22,3.6868408,5
2021-08-23/2021-08-29,-1.8695337,2
2021-09-06/2021-09-12,2.1289039,4
2021-09-13/2021-09-19,1.3356503,3
2021-09-20/2021-09-26,5.772221,10
2021-09-27/2021-10-03,8.0340605,3
2021-10-04/2021-10-10,3.2598476,7
2021-10-11/2021-10-17,2.030078,9
2021-10-18/2021-10-24,7.8110924,3
2021-10-25/2021-10-31,1.8671359,2
2021-11-01/2021-11-07,8.271149,2
2021-11-08/2021-11-14,-0.5508436,1
2021-11-15/2021-11-21,5.528309,4
2021-11-22/2021-11-28,4.6598186,1
2021-11-29/2021-12-05,4.650368,4
2021-12-06/2021-12-12,1.4563239,2
2021-12-13/2021-12-19,2.53493,4
2021-12-20/2021-12-26,7.177631,4
2021-12-27/2022-01-02,2.0715349,8
2022-01-03/2022-01-09,2.7012317,6
2022-01-10/2022-01-16,2.6337366,6
2022-01-17/2022-01-23,1.3842269,9
2022-01-24/2022-01-30,1.0431974,5
2022-01-31/2022-02-06,8.932626,1
2022-02-07/2022-02-13,5.7489514,3
2022-02-14/2022-02-20,1.934761,10
2022-02-21/2022-02-27,5.0695953,7
2022-02-28/2022-03-06,3.8813698,14
2022-03-07/2022-03-13,3.184359,7
2022-03-14/2022-03-20,4.635732,7
2022-03-21/2022-03-27,2.1144764,14
2022-03-28/2022-04-03,5.09987,6
2022-04-04/2022-04-10,-0.42362198,9
2022-04-11/2022-04-17,1.0202638,10
2022-04-18/2022-04-24,2.5886688,19
2022-04-25/2022-05-01,-0.672119,17
2022-05-02/2022-05-08,-0.2364105,14
2022-05-09/2022-05-15,3.0153322,12
2022-05-16/2022-05-22,3.0342157,3
2022-05-23/2022-05-29,5.933251,6
2022-05-30/2022-06-05,2.0832868,2
2022-06-06/2022-06-12,5.5177336,5
2022-06-13/2022-06-19,1.6555469,4
2022-06-20/2022-06-26,3.0527825,5
2022-06-27/2022-07-03,6.1307893,3
2022-07-04/2022-07-10,3.8883011,8
2022-07-11/2022-07-17,-0.19631682,7
2022-07-18/2022-07-24,4.917874,12
2022-07-25/2022-07-31,6.629116,2
2022-08-01/2022-08-07,4.31997,2
2022-08-08/2022-08-14,5.243831,4
2022-08-15/2022-08-21,2.5984235,4
2022-08-22/2022-08-28,1.7894226,7
2022-08-29/2022-09-04,2.628845,7
2022-09-05/2022-09-11,1.9621605,6
2022-09-12/2022-09-18,3.064416,3
2022-09-19/2022-09-25,4.0403147,5
2022-09-26/2022-10-02,3.1645467,3
2022-10-03/2022-10-09,2.537378,4
2022-10-10/2022-10-16,2.3709252,12
2022-10-17/2022-10-23,4.949417,4
2022-10-24/2022-10-30,3.6805031,10
2022-10-31/2022-11-06,2.3687131,3
2022-11-07/2022-11-13,3.215301,2
2022-11-14/2022-11-20,8.997453,1
2022-11-21/2022-11-27,7.441172,3
2022-11-28/2022-12-04,9.160302,1
2022-12-05/2022-12-11,3.5121908,4
2022-12-12/2022-12-18,2.1912389,5
2022-12-19/2022-12-25,2.2165217,4
2022-12-26/2023-01-01,3.2122898,5
2023-01-02/2023-01-08,2.252005,4
2023-01-09/2023-01-15,2.3589852,12
2023-01-16/2023-01-22,2.9158986,7
2023-01-23/2023-01-29,0.16214973,3
2023-01-30/2023-02-05,5.443357,4
2023-02-06/2023-02-12,1.2784358,2
2023-02-20/2023-02-26,6.3503013,4
2023-02-27/2023-03-05,3.4521027,3
2023-03-06/2023-03-12,7.1582828,6
2023-03-13/2023-03-19,2.316935,6
2023-03-20/2023-03-26,6.5493484,5
2023-03-27/2023-04-02,4.475577,2
2023-04-03/2023-04-09,4.6234584,5
2023-04-10/2023-04-16,5.157535,6
2023-04-17/2023-04-23,4.6496906,10
2023-04-24/2023-04-30,5.178978,7
2023-05-01/2023-05-07,6.46015,4
2023-05-08/2023-05-14,6.632134,4
2023-05-15/2023-05-21,7.059822,6
2023-05-22/2023-05-28,-1.6972528,2
2023-05-29/2023-06-04,6.8307447,4
2023-06-05/2023-06-11,9.002888,1
2023-06-12/2023-06-18,6.096732,5
2023-06-19/2023-06-25,6.197558,3
2023-06-26/2023-07-02,0.26374698,1
2023-07-03/2023-07-09,4.209728,5
2023-07-10/2023-07-16,3.097391,10
2023-07-17/2023-07-23,7.825714,9
2023-07-24/2023-07-30,7.7673836,2
2023-07-31/2023-08-06,5.17034,6
2023-08-14/2023-08-20,9.156732,1
2023-08-21/2023-08-27,3.9526296,4
2023-08-28/2023-09-03,3.3656251,3
2023-09-04/2023-09-10,4.666912,2
2023-09-11/2023-09-17,4.487855,4
2023-09-18/2023-09-24,7.7602315,2
2023-09-25/2023-10-01,6.3725243,6
2023-10-02/2023-10-08,4.2869744,4
2023-10-09/2023-10-15,-0.59668964,7
2023-10-16/2023-10-22,5.5480504,10
2023-10-23/2023-10-29,7.9545636,4
2023-11-06/2023-11-12,2.9568112,3
2023-11-13/2023-11-19,6.4634633,3
2023-11-20/2023-11-26,5.4576707,3
2023-11-27/2023-12-03,-0.6511885,2
2023-12-04/2023-12-10,5.817139,3
2023-12-11/2023-12-17,8.877586,3
